iter	Logloss
0	0.6931459518
1	0.6921078059
2	0.6919387357
3	0.6915535293
4	0.6914967764
5	0.6910316987
6	0.6909089038
7	0.690905158
8	0.6909044013
9	0.6909004007
10	0.6902226412
11	0.6900383768
12	0.6892659934
13	0.6888831787
14	0.6881364517
15	0.6881359678
16	0.6874134719
17	0.6872909895
18	0.6870143536
19	0.6862300258
20	0.6862110985
21	0.686210693
22	0.6856345532
23	0.6854151342
24	0.6852705444
25	0.6845524324
26	0.6832415897
27	0.6826127976
28	0.6825372694
29	0.6823070051
30	0.6817580131
31	0.6809397435
32	0.6807607935
33	0.6805142653
34	0.6801293504
35	0.6792669995
36	0.6792669119
37	0.6792622939
38	0.6792622054
39	0.678917125
40	0.6788776483
41	0.6788660882
42	0.6781747483
43	0.6773403134
44	0.6764228518
45	0.6762944354
46	0.6759414468
47	0.6755948746
48	0.6754697531
49	0.6754697326
50	0.6754619966
51	0.6752590798
52	0.6752463806
53	0.6744723616
54	0.6743687323
55	0.6743643884
56	0.6738963687
57	0.673255371
58	0.6730361793
59	0.6723554506
60	0.6720473932
61	0.6720389684
62	0.6719690059
63	0.6718942116
64	0.6715868761
65	0.670933801
66	0.67020075
67	0.6700676455
68	0.6698623704
69	0.6696584489
70	0.6695929466
71	0.6695929416
72	0.6695364541
73	0.6694015527
74	0.6689900429
75	0.6688964113
76	0.6688260039
77	0.668303742
78	0.667846069
79	0.6675435693
80	0.6674079115
81	0.6670208264
82	0.6670208243
83	0.6669473658
84	0.6669193852
