iter	Passed	Remaining
0	175	262589
1	205	153764
2	244	122118
3	270	101079
4	309	92541
5	341	84960
6	370	78929
7	407	75978
8	423	70204
9	457	68120
10	469	63590
11	503	62408
12	513	58751
13	546	57979
14	574	56862
15	586	54440
16	627	54736
17	657	54134
18	678	52870
19	705	52211
20	736	51897
21	765	51409
22	793	50950
23	800	49219
24	818	48299
25	849	48184
26	872	47574
27	907	47689
28	920	46668
29	944	46287
30	972	46091
31	985	45191
32	1014	45112
33	1035	44647
34	1054	44143
35	1090	44362
36	1100	43516
37	1129	43474
38	1142	42813
39	1155	42186
40	1179	41983
41	1206	41894
42	1237	41928
43	1264	41835
44	1272	41132
45	1305	41260
46	1322	40886
47	1340	40540
48	1367	40490
49	1395	40466
50	1428	40578
51	1442	40169
52	1449	39587
53	1487	39843
54	1498	39366
55	1514	39051
56	1527	38666
57	1560	38787
58	1575	38480
59	1592	38217
60	1597	37674
61	1641	38061
62	1669	38071
63	1676	37610
64	1690	37321
65	1720	37390
66	1737	37169
67	1768	37237
68	1775	36821
69	1782	36417
70	1787	35979
71	1830	36298
72	1837	35921
73	1866	35971
74	1883	35788
75	1891	35446
76	1904	35197
77	1910	34831
78	1921	34566
79	1926	34190
80	1959	34335
81	1989	34404
82	2023	34552
83	2068	34868
84	2081	34650
85	2107	34653
86	2138	34725
87	2161	34682
88	2178	34544
89	2200	34476
90	2206	34168
91	2225	34057
92	2240	33898
93	2247	33610
94	2260	33436
95	2283	33393
96	2289	33116
97	2304	32967
98	2339	33111
99	2371	33194
100	2410	33383
101	2439	33433
102	2482	33667
103	2503	33608
104	2543	33798
105	2554	33593
106	2561	33351
107	2590	33383
108	2596	33137
109	2604	32906
110	2642	33067
111	2664	33015
112	2671	32791
113	2716	33023
114	2749	33110
115	2777	33138
116	2797	33067
117	2804	32846
118	2829	32838
119	2854	32827
120	2870	32719
121	2909	32866
